Threshold,Accuracy,Percent_of_Samples,Dataset,Model
0.52,0.496488147,1,15,SVM
0.54,0.496488147,1,15,SVM
0.55,0.496488147,1,15,SVM
0.56,0.496488147,1,15,SVM
0.52,0.498196573,1,30,SVM
0.54,0.498196573,1,30,SVM
0.55,0.498196573,1,30,SVM
0.56,0.498196573,1,30,SVM
0.52,0.500721501,1,60,SVM
0.54,0.500721501,1,60,SVM
0.55,0.500721501,1,60,SVM
0.56,0.500721501,1,60,SVM
0.52,0.504950495,1,90,SVM
0.54,0.504950495,1,90,SVM
0.55,0.504950495,1,90,SVM
0.56,0.504950495,1,90,SVM
0.52,0.512354651,0.60403863,15,RF
0.54,0.511326861,0.271290606,15,RF
0.55,0.530821918,0.128182616,15,RF
0.56,0.531531532,0.048726953,15,RF
0.52,0.513768686,0.573038774,30,RF
0.54,0.538602941,0.245266005,30,RF
0.55,0.545454545,0.133904418,30,RF
0.56,0.604651163,0.058160505,30,RF
0.52,0.512455516,0.540644541,60,RF
0.54,0.52195122,0.197210197,60,RF
0.55,0.584210526,0.091390091,60,RF
0.56,0.666666667,0.033189033,60,RF
0.52,0.522030651,0.544033351,90,RF
0.54,0.560693642,0.180302241,90,RF
0.55,0.531468531,0.074517978,90,RF
0.56,0.557692308,0.027097447,90,RF
0.52,0.493506494,0.845039508,15,GB
0.54,0.500331785,0.661545215,15,GB
0.55,0.50075643,0.580333626,15,GB
0.56,0.505637467,0.506145742,15,GB
0.52,0.492592593,0.730387737,30,GB
0.54,0.506469501,0.487826871,30,GB
0.55,0.496559633,0.393146979,30,GB
0.56,0.498507463,0.30207394,30,GB
0.52,0.494684621,0.678691679,60,GB
0.54,0.487471526,0.422318422,60,GB
0.55,0.495440729,0.316498316,60,GB
0.56,0.493975904,0.23953824,60,GB
0.52,0.521848739,0.620114643,90,GB
0.54,0.496688742,0.314747264,90,GB
0.55,0.509756098,0.213652944,90,GB
0.56,0.49825784,0.149557061,90,GB
0.52,0.515421115,0.740122915,15,LR
0.54,0.524412297,0.485513608,15,LR
0.55,0.517897092,0.392449517,15,LR
0.56,0.504273504,0.308165057,15,LR
0.52,0.516908213,0.746618575,30,LR
0.54,0.513124471,0.532461677,30,LR
0.55,0.521459227,0.420198377,30,LR
0.56,0.529880478,0.339495041,30,LR
0.52,0.513422819,0.716690717,60,LR
0.54,0.514047867,0.462241462,60,LR
0.55,0.522207268,0.357383357,60,LR
0.56,0.536804309,0.267917268,60,LR
0.52,0.508896797,0.732152163,90,LR
0.54,0.520742358,0.477331944,90,LR
0.55,0.526536313,0.373110995,90,LR
0.56,0.52037037,0.281396561,90,LR
0.52,0.516656926,0.751097454,15,NN
0.54,0.519624573,0.514486392,15,NN
0.55,0.513283741,0.413081651,15,NN
0.56,0.509186352,0.334503951,15,NN
0.52,0.496417605,0.88097385,30,NN
0.54,0.496466431,0.765554554,30,NN
0.55,0.493945188,0.707394049,30,NN
0.56,0.501385042,0.65103697,30,NN
0.52,0.504657534,0.877825878,60,NN
0.54,0.504054897,0.771043771,60,NN
0.55,0.511721366,0.718133718,60,NN
0.56,0.512987013,0.666666667,60,NN
0.52,0.527056277,0.963001563,90,NN
0.54,0.531425365,0.92860865,90,NN
0.55,0.529378209,0.913496613,90,NN
0.56,0.531778426,0.893694633,90,NN
